Año,Semana,Canales,Kilos,peso promedio,Lomo,Pierna,Espaldilla,Tocino ch,Filete,Papada,Cabeza lomo,Total
2025,36," 2,000 "," 186,467 ",93.23,12.74%,20.28%,10.77%,12.68%,0.66%,0.07%,4.91%,61.38%
2025,37," 2,000 "," 184,154 ",92.08,12.38%,18.97%,10.47%,12.29%,0.56%,0.07%,4.73%,58.83%
2025,38," 2,000 "," 191,725 ",95.86,12.66%,19.46%,10.51%,11.80%,0.53%,0.07%,4.78%,59.21%
2025,39," 1,828 "," 173,592 ",94.96,12.37%,18.15%,10.43%,11.50%,0.59%,0.34%,4.92%,57.37%
2025,40," 2,000 "," 183,715 ",91.86,12.75%,18.19%,10.28%,11.50%,0.54%,0.09%,4.68%,57.40%
2025,41," 2,014 "," 186,646 ",92.67,12.16%,17.55%,10.05%,11.95%,0.62%,0.07%,4.45%,56.16%
2025,42," 2,000 "," 186,489 ",93.24,12.10%,18.69%,9.95%,11.91%,0.54%,0.09%,4.52%,57.17%
2025,43," 2,000 "," 185,335 ",92.67,12.17%,18.67%,10.31%,11.51%,0.54%,0.00%,4.55%,57.20%
2025,44," 2,005 "," 187,996 ",93.76,12.87%,18.62%,10.19%,11.76%,0.50%,0.21%,4.49%,57.93%
2025,45," 2,030 "," 186,875 ",92.06,12.88%,18.07%,10.08%,11.52%,0.51%,0.06%,4.52%,57.64%
2025,46," 2,000 "," 181,520 ",90.76,11.54%,18.73%,10.23%,12.24%,0.52%,0.06%,4.50%,57.84%
2025,47," 2,000 "," 183,226 ",91.61,11.97%,17.69%,10.54%,12.27%,0.50%,0.08%,4.44%,57.48%
2025,48," 2,000 "," 185,337 ",92.67,12.44%,17.93%,10.19%,11.96%,0.49%,0.06%,4.39%,57.46%
2025,49," 2,000 "," 186,740 ",93.37,11.91%,17.80%,10.03%,12.22%,0.56%,0.08%,3.37%,55.96%
2025,50," 2,000 "," 179,201 ",89.60,12.21%,17.22%,9.55%,11.94%,0.64%,0.08%,4.32%,55.96%
2025,51," 2,000 "," 186,307 ",93.15,12.21%,17.78%,9.57%,11.95%,0.58%,0.08%,4.40%,56.58%
2025,52," 1,600 "," 157,131 ",98.21,12.05%,16.85%,9.73%,11.73%,0.49%,0.40%,4.45%,55.69%
